id,text,user_id,user_screen_name,user_name
1305386869866164225,"Hopefully BMC shall defeat Corona. That's the ""Ukhaad diya"" Mumbai wants. https://t.co/qbV7J0KgZP",204393094,VikasAgarwalll,Vikas Agarwal
1305386858176684032,@sizzlingyuvi @ManMundra Thanks Manish Bhai but Why can’t a corona Worrior be treated at Govt expenses Sri… https://t.co/CszGgCr6Xb,77466673,gopugoswami,Gopal Goswami
1305386832817917952,"Jabalpur becomes new hot spot in Madhya Pradesh, 227 corona positives found in one day  https://t.co/oKsV6wX1kU",1132965570041614336,ChhattisgarhThe,The Chhattisgarh
1305386832398610432,Just give me corona,755849141373112320,yayquarantine,Casy⁷
1305386829349154817,@CovidIndiaSeva @MoHFW_INDIA @CMOfficeUP our whole family in Lucknow Gomti Nagar are corona positive but no help fr… https://t.co/Va8uTu85Pw,362646319,vineeta24sahai,\/ | |\| | €€
1305386828594282496,PE News -  Being corona positive pushed me to mashonisas – Port Elizabeth in the News: Being corona positive… https://t.co/oJmOm7f7l2,310812183,MyCapeTownza,My Cape Town
1305386793274019840,"@vivekwatwe @ShefVaidya @sambitswaraj BJP don't have ""CHAMCHA"" they have BHAKTS and DHAKKANS .. who don't even dare… https://t.co/C80Mv40IQE",143025927,ips99,inderpal singh
1305386772335964161,"@undefinedbts This happened to me last week , though the reason was mild corona I had",1177652312732340224,myeongholuvr,𝘳𝘪𝘤𝘩𝘢 ∞
1305386772013232128,"@anger_trading so....take care of fucking corona....now there is another wave of it across the Europe, my country t… https://t.co/JAxzErN1ZX",1135833591529840641,oooXXXooo6,oooXXXooo
1305386727201218560,@Paul_VanDerMeer Future corona deaths.,3353913173,PetraPauline,Petra Pauline 🇪🇺
1305386701930389506,@bbilan_ corona weeyy,1221773700359344129,WFS_07,Oji 🦂
1305386690626883584,"With the corona crisis, Finland may well become an attractive place for international experts. #finland #safeplace… https://t.co/YozGFy2XxY",3245003086,nordicimpact,Nordic-Baltic Impact Week
1305386686386335744,"Hey @VodafoneIN , is there any way to remove corona tune before call, no option is there in Vodafone Services excep… https://t.co/gOOBgI6ilm",875772407902031872,knight_r3d,R3D KNIGHT
1305386678794715136,"@_pallavighosh she has Y plus security against corona ,,, thats BHAKT politics,",118602974,jmrtamilan,contractor jmr
1305386671873994753,@narendramodi  India is always with Army but PM should remember his duties that he should support with hospitals to… https://t.co/XOBadogvu3,78822779,mrk0005,mrk
1305386670414426113,@benjanun_s i think possibly the worst part of this is the very rudimentary lighting causing the ants to become wre… https://t.co/SPab8w8uC1,1231627596,TheEggpie,"Grykar, grugs most powerful warrior"
1305386663741394950,um yall.. i might have corona my throat hurts,1184194319013634054,nekogrlz,bunnie () ()
